gene,CNV
ZNF514,GAIN
ZNF2,GAIN
PROM2,GAIN
KCNIP3,GAIN
TRIM43B,GAIN
TRIM43,GAIN
GPAT2,GAIN
ADRA2B,GAIN
ASTL,GAIN
DUSP2,GAIN
STARD7,GAIN
TMEM127,GAIN
CIAO1,GAIN
SNRNP200,GAIN
ITPRIPL1,GAIN
NCAPH,GAIN
NEURL3,GAIN
ARID5A,GAIN
KANSL3,GAIN
FER1L5,GAIN
LMAN2L,GAIN
CNNM4,GAIN
CNNM3,GAIN
SEMA4C,GAIN
FAHD2B,GAIN
ANKRD36,GAIN
DPP10,LOH
DDX18,LOH
CCDC93,LOH
INSIG2,LOH
EN1,LOH
MARCO,LOH
C1QL2,LOH
STEAP3,LOH
C2orf76,LOH
DBI,LOH
SCTR,LOH
CFAP221,LOH
PTPN4,LOH
EPB41L5,LOH
TMEM185B,LOH
INHBB,LOH
LINC01101,LOH
GLI2,LOH
TFCP2L1,LOH
NIFK,LOH
TSN,LOH
CNTNAP5,LOH
GYPC,LOH
BIN1,LOH
CYP27C1,LOH
ERCC3,LOH
PROC,LOH
MYO7B,LOH
LIMS2,LOH
POLR2D,LOH
AMMECR1L,LOH
UGGT1,LOH
HS6ST1,LOH
RAB6C,LOH
POTEF,LOH
CCDC74B,LOH
SMPD4,LOH
MZT2B,LOH
TUBA3E,LOH
CCDC115,LOH
IMP4,LOH
PTPN18,LOH
CYP4F62P,LOH
POTEI,LOH
CFC1B,LOH
TISP43,LOH
CFC1,LOH
POTEJ,LOH
CYP4F30P,LOH
GPR148,LOH
AMER3,LOH
ARHGEF4,LOH
FAM168B,LOH
PLEKHB2,LOH
C2orf27A,LOH
ANKRD30BL,LOH
ZNF806,LOH
GPR39,LOH
LYPD1,LOH
NCKAP5,LOH
CCNT2,LOH
MAP3K19,LOH
ZRANB3,LOH
UBXN4,LOH
DARS,LOH
PABPC1P2,LOH
ACVR2A,LOH
ORC4,LOH
MBD5,LOH
EPC2,LOH
KIF5C,LOH
LYPD6B,LOH
LYPD6,LOH
MMADHC,LOH
RND3,LOH
RBM43,LOH
NMI,LOH
TNFAIP6,LOH
RIF1,LOH
