log2,depth
0.388766,31.2977
0.388766,40.1886
0.388766,182.015
0.388766,145.33
0.388766,94.0301
0.388766,87.5992
0.388766,95.9465
0.388766,60.4101
0.388766,28.8719
0.388766,171.559
0.388766,64.0349
0.388766,15.1488
0.388766,70.0485
0.388766,112.206
0.388766,160.402
0.388766,93.2939
0.388766,69.203
0.388766,117.835
0.388766,82.4318
0.388766,50.9622
0.388766,69.1559
0.388766,120.483
0.388766,77.8988
0.388766,65.7161
0.388766,41.9866
0.388766,129.929
0.388766,18.6359
0.388766,83.8802
0.388766,32.0245
0.388766,42.3377
0.388766,64.5987
0.388766,25.5303
0.388766,41.6283
0.388766,136.702
0.388766,237.309
0.388766,158.033
0.388766,98.8023
0.388766,106.884
0.388766,140.199
0.388766,112.601
0.388766,27.9053
0.388766,28.3248
0.388766,180.356
0.388766,29.437
0.388766,46.4667
0.388766,173.62
0.388766,48.6034
0.388766,120.611
0.388766,80.705
0.388766,72.3514
0.388766,96.8638
0.388766,97.5864
0.388766,201.126
0.388766,43.582
0.388766,30.9889
0.388766,42.7742
0.388766,41.7573
0.388766,181.764
0.388766,265.427
0.388766,43.0909
0.388766,69.1741
0.388766,152.45
0.388766,62.3412
0.388766,48.4138
0.388766,44.5616
0.388766,141.517
0.388766,108.815
0.388766,109.34
0.388766,84.4729
0.388766,152.308
0.388766,110.735
0.388766,91.2645
0.388766,52.9608
0.388766,42.0997
0.388766,51.0735
0.388766,144.56
0.388766,592.554
0.388766,44.5109
0.388766,225.171
0.388766,117.898
0.388766,121.9
0.388766,265.245
0.388766,172.828
0.388766,152.288
0.388766,157.584
0.388766,47.7379
0.388766,81.2132
0.388766,31.4128
0.388766,74.8799
0.388766,46.117
0.388766,30.2654
0.388766,175.85
0.388766,170.838
0.388766,51.5594
0.388766,71.117
0.388766,57.0586
0.388766,87.9
0.388766,38.6533
0.388766,140.212
0.388766,28.8851
0.388766,42.3826
0.388766,22.6481
0.388766,24.6643
0.388766,51.5273
0.388766,59.1961
0.388766,82.2908
0.388766,59.4429
0.388766,95.4158
0.388766,218.932
0.388766,16.7143
0.388766,44.1203
0.388766,138.154
0.388766,45.1143
0.388766,46.9908
0.388766,76.5279
0.388766,36.3767
0.388766,151.61
0.388766,59.4504
0.388766,79.5708
0.388766,100.679
0.388766,41.0176
0.388766,36.5097
0.388766,39.1279
0.388766,97.6053
0.388766,88.3839
0.388766,107.958
0.388766,49.8515
0.388766,23.415
0.388766,27.3663
0.388766,73.6795
0.388766,37.7083
0.388766,54.3322
0.388766,47.5837
0.388766,63.19
0.388766,66.7812
0.388766,10.5542
0.388766,72.3147
0.388766,52.8634
0.388766,54.4365
0.388766,97.4067
0.388766,21.0447
0.388766,16.3576
0.388766,96.0676
0.388766,47.6374
0.388766,32.7297
0.388766,49.9032
0.388766,99.7075
0.388766,107.481
0.388766,97.6125
0.388766,277.616
0.388766,317.473
0.388766,96.2174
0.388766,123.841
0.388766,81.8233
0.388766,26.535
0.388766,8.76331
0.388766,24.052
0.388766,75.1349
0.388766,103.43
0.388766,55.4327
0.388766,92.5885
0.388766,84.5706
0.388766,58.1478
0.388766,51.0909
0.388766,125.078
0.388766,29.736
0.388766,24.9571
0.388766,17.5916
0.388766,19.4909
0.388766,163.135
0.388766,68.1057
0.388766,66.669
0.388766,140.216
0.388766,66.1546
0.388766,60.7879
0.388766,112.319
0.388766,29.0602
0.388766,88.8649
0.388766,27.7524
0.388766,58.7197
0.388766,142.565
0.388766,152.841
0.388766,51.1692
0.388766,46.7722
0.388766,16.575
