Genes
FAM43B
FAM46B
FAM76A
FCN3
FGR
FUCA1
GALE
GMEB1
GPATCH3
GPN2
GPR3
GRHL3
HMGCL
HMGN2
HNRNPR
HP1BP3
HSPG2
HTR1D
HTR6
ID3
IFFO2
IFI6
IFNLR1
IGSF21
IL22RA1
KDF1
KDM1A
KIF17
KLHDC7A
LACTBL1
LDLRAD2
LDLRAP1
LIN28A
LINC00339
LINC01141
LINC01355
LINC01635
LINC01654
LINC01715
LINC01756
LINC01757
LINC02574
LOC100506730
LOC100506801
LOC100506985
LOC101927895
LOC101928163
LOC101928303
LOC101928324
LOC101928728
LOC105376805
LOC105378614
LOC284632
LOC400743
LOC646471
LUZP1
LYPLA2
MACO1
MAN1C1
MAP3K6
MDS2
MECR
MED18
MFAP2
MINOS1
MINOS1-NBL1
MIR1256
MIR1290
MIR1976
MIR3115
MIR378F
MIR3917
MIR3972
MIR4253
MIR4418
MIR4419A
MIR4425
MIR4684
MIR4695
MIR6084
MIR6127
MIR6731
MRTO4
MTFR1L
MUL1
MYOM3
NBL1
NBPF3
NCMAP
NIPAL3
NR0B2
NUDC
OPRD1
OTUD3
PADI1
PADI2
PADI3
PADI4
PADI6
PAFAH2
PAQR7
PAX7
PDIK1L
PHACTR4
PIGV
PINK1
PINK1-AS
PITHD1
PLA2G2A
PLA2G2C
PLA2G2D
PLA2G2E
PLA2G2F
PLA2G5
PNRC2
PPP1R8
PQLC2
PTAFR
PTPRU
RAB42
RAP1GAP
RCAN3
RCAN3AS
RCC1
RCC2
RHCE
RHD
RNF186
RNU1-1
RNU11
RPA2
RPL11
RPS14P3
RPS6KA1
RSRP1
RUNX3
SCARNA1
SDHB
SELENON
SESN2
SFN
SH2D5
SH3BGRL3
SLC30A2
SLC9A1
SMPDL3B
SNHG12
SNHG3
SNORA16A
SNORA44
SNORA61
SNORA73A
SNORA73B
SNORD99
SRRM1
SRSF10
SRSF4
STMN1
STPG1
STX12
SYF2
SYTL1
TAF12
TAS1R2
TCEA3
TEX46
THEMIS2
TMCO4
TMEM200B
TMEM222
TMEM50A
TRIM63
TRNAU1AP
TRNP1
UBR4
UBXN10
UBXN10-AS1
UBXN11
USP48
VWA5B1
WASF2
WDTC1
WNT4
XKR8
YTHDF2
ZBTB40
ZDHHC18
ZNF436
ZNF436-AS1
ZNF593
ZNF683
BMP8A
BMP8B
CAP1
COL9A2
EXO5
HEYL
HPCAL4
KIAA0754
LOC101929516
LOC101929536
MACF1
MFSD2A
MIR30C1
MIR30E
MYCL
NDUFS5
NFYC
NFYC-AS1
NT5C1A
OXCT2
OXCT2P1
PABPC4
PPIE
PPIEL
PPT1
RIMS3
RLF
SMAP2
SNORA55
TMCO2
TRIT1
ZFP69
ZFP69B
ZMPSTE24
ZNF684
MIR761
NRDC
OSBPL9
RAB3B
ACOT11
BSND
C1orf123
C8A
C8B
CC2D1B
CDCP2
COA7
CPT2
CYB5RL
DAB1
DAB1-AS1
DHCR24
DIO1
DMRTB1
ECHDC2
FAM151A
FYB2
GLIS1
GPX7
HSPB11
LDLRAD1
LEXM
LINC01753
LINC01755
LINC01767
LINC01771
LOC100507564
LOC100507634
LOC101929935
LRP8
LRRC42
MAGOH
MIR1273F
MIR1273G
MIR4422
MIR4422HG
MIR4781
MIR5095
MROH7
MROH7-TTC4
MRPL37
NDC1
ORC1
PARS2
PCSK9
PLPP3
PODN
PRKAA2
PRPF38A
SCP2
SHISAL2A
SLC1A7
SLC25A3P1
SSBP3
SSBP3-AS1
TCEANC2
TMEM59
TMEM61
TTC22
TTC4
USP24
YIPF1
ZCCHC11
ZFYVE9
ZYG11A
ZYG11B
OMA1
ACADM
ANKRD13C
ASB17
CRYZ
CTH
DLSTP1
ERICH3
ERICH3-AS1
FPGT
FPGT-TNNI3K
HHLA3
LHX8
LINC01360
LINC01788
LINC02238
LOC101927342
LRRC40
LRRC7
LRRIQ3
MIR186
MSH4
NEGR1
NEGR1-IT1
PIN1P1
PTGER3
RABGGTB
SLC44A5
SNORD45A
SNORD45B
SNORD45C
SRSF11
ST6GALNAC3
TNNI3K
TYW3
ZRANB2
ZRANB2-AS1
ZRANB2-AS2
TTLL7
PRKACB
DNASE2B
SAMD13
UOX
CNN3
LOC729970
LINC01650
LINC01760
LINC01761
LOC100996635
LOC101928098
LOC101928118
LOC102723661
RWDD3
TMEM56
TMEM56-RWDD3
ACTG1P4
ADORA3
AGL
AHCYL1
AKNAD1
AKR7A2P1
ALX3
AMIGO1
AMPD1
AMPD2
AMY1A
AMY1B
AMY1C
AMY2A
AMY2B
AP4B1
AP4B1-AS1
ATP1A1
ATP1A1-AS1
ATP5PB
ATXN7L2
BCAS2
BCL2L15
C1orf137
C1orf162
C1orf194
CAPZA1
CASQ2
CD101
CD2
CD53
CD58
CDC14A
CELSR2
CEPT1
CHI3L2
CHIA
CHIAP2
CLCC1
COL11A1
CSDE1
CSF1
CTTNBP2NL
CYB561D1
CYMP
CYMP-AS1
DBT
DCLRE1B
DDX20
DENND2C
DENND2D
DNAJA1P5
DPH5
DPYD
DPYD-AS1
DPYD-AS2
DRAM2
EPS8L3
EXTL2
FAM102B
FAM19A3
FAM212B
FAM212B-AS1
FAM46C
FNDC7
FRRS1
GNAI3
GNAT2
GPR61
GPR88
GPSM2
GSTM1
GSTM2
GSTM3
GSTM4
GSTM5
HENMT1
HIPK1
HIPK1-AS1
IGSF3
KCNA10
KCNA2
KCNA3
KCNC4
KCNC4-AS1
KCND3
KCND3-AS1
KCND3-IT1
KIAA1324
LAMTOR5
LAMTOR5-AS1
LINC01160
LINC01307
LINC01349
LINC01356
LINC01397
LINC01525
LINC01649
LINC01661
LINC01676
LINC01677
LINC01708
LINC01750
LINC01762
LINC01776
LINC01787
LINC01930
LOC100129138
LOC100129620
LOC100996251
LOC100996263
LOC101928370
LOC101928436
LOC101928718
LOC101928977
LOC101929099
LOC102606465
LOC643441
LRIF1
LRIG2
LRRC39
MAB21L3
MAGI3
MAN1A2
MFSD14A
MIR137
MIR137HG
MIR197
MIR2682
MIR320B1
MIR4256
MIR548AC
MIR548N
MIR553
MIR7852
MIR942
MOV10
MYBPHL
NBPF4
NBPF6
NGF
NHLH2
NRAS
NTNG1
OLFM3
OLFML3
OVGP1
PALMD
PGCP1
PHTF1
PIFO
PLPPR4
PLPPR5
PPM1J
PRMT6
PROK1
PRPF38B
PSMA5
PSRC1
PTBP2
PTGFRN
PTPN22
RAP1A
RBM15
RBM15-AS1
RHOC
RNPC3
RSBN1
RTCA
RTCA-AS1
S1PR1
SARS
SASS6
SCARNA2
SIKE1
SLC16A1
SLC16A1-AS1
SLC16A4
SLC22A15
SLC25A24
SLC30A7
SLC35A3
SLC6A17
SNX7
SORT1
SPATA42
ST7L
STRIP1
STXBP3
SYCP1
SYPL2
SYT6
TAF13
TMEM167B
TMIGD3
TRIM33
TRIM45
TRMT13
TSHB
TSPAN2
TTF2
UBL4B
VANGL1
VAV3
VAV3-AS1
VCAM1
VTCN1
WDR47
WDR77
WNT2B
ADARB2
ADARB2-AS1
AKR1E2
DIP2C
GTPBP4
IDI1
IDI2
IDI2-AS1
KLF6
LARP4B
LINC00200
LINC00700
LINC00701
LINC00702
LINC00703
LINC00704
LINC00705
LOC101927762
LOC101927964
LOC101930421
LOC105376351
LOC105376360
LOC105376365
MIR5699
MIR6072
MIR6078
MIR7641-2
PFKP
PITRM1
PITRM1-AS1
PRR26
SNORD142
WDR37
ZMYND11
ACBD7
ACBD7-DCLRE1CP1
AKR1C4
AKR1C8P
ANKRD16
ARL5B
ASB13
ATP5F1C
BEND7
C10orf111
C1QL3
CACNB2
CALML3
CALML3-AS1
CALML5
CAMK1D
CCDC3
CDC123
CDNF
CELF2
CELF2-AS1
CELF2-AS2
CUBN
DCLRE1C
DCLRE1CP1
DHTKD1
ECHDC3
FAM107B
FAM171A1
FAM208B
FBXO18
FRMD4A
GATA3
GATA3-AS1
GDI2
HACD1
HSPA14
IL15RA
IL2RA
ITGA8
ITIH2
ITIH5
KIN
LINC00706
LINC00707
LINC00708
LINC00709
LINC00710
LINC02561
LINP1
LOC101928150
LOC101928272
LOC101928298
LOC101928322
LOC101928453
LOC101928834
LOC105376382
LOC105376398
LOC105755953
LOC399715
LOC399716
MALRD1
MCM10
MEIG1
MINDY3
MIR1265
MIR3155A
MIR3155B
MIR4293
MIR4454
MIR4480
MIR4481
MIR511
MIR548AK
MIR548Q
MRC1
NET1
NMT2
NSUN6
NUDT5
OLAH
OPTN
PFKFB3
PHYH
PLXDC2
PPIAP30
PRKCQ
PRKCQ-AS1
PROSER2
PROSER2-AS1
PRPF18
PTER
RBM17
RNU6-2
RNU6-8
RPP38
RSU1
SEC61A2
SEPHS1
SFMBT2
SFTA1P
SLC39A12
SLC39A12-AS1
SNORD129
ST8SIA6
ST8SIA6-AS1
STAM
STAM-AS1
SUV39H2
TAF3
TMEM236
TRDMT1
TUBAL3
UCMA
UCN3
UPF2
USP6NL
VIM
VIM-AS1
MLLT10
ADAMTS14
ADIRF
ADK
ADO
AGAP11
AGAP5
AIFM2
ANAPC16
ANK3
ANXA11
ANXA2P3
ANXA7
AP3M1
ARID5B
ASCC1
ATAD1
ATOH7
BEND3P3
BMPR1A
BMS1P21
BMS1P4
C10orf105
C10orf55
C10orf99
CABCOCO1
CAMK2G
CCAR1
CCDC6
CCEPR
CCSER2
CDH23
CDH23-AS1
CDHR1
CDK1
CERNA2
CFAP70
CHCHD1
CHST3
COL13A1
COMTD1
CTNNA3
DDIT4
DDX21
DDX50
DLG5
DLG5-AS1
DNA2
DNAJB12
DNAJC12
DNAJC9
DNAJC9-AS1
DUPD1
DUSP13
DYDC1
DYDC2
ECD
EGR2
EIF4EBP2
EIF5AL1
FAM13C
FAM149B1
FAM213A
FAM241B
FAM25A
FAM35A
FUT11
GHITM
GLUD1
GLUD1P3
GRID1
GRID1-AS1
H2AFY2
HERC4
HK1
HKDC1
HNRNPH3
JMJD1C
JMJD1C-AS1
KAT6B
KCNMA1
KCNMA1-AS1
KCNMA1-AS2
KCNMA1-AS3
KIF1BP
LDB3
LINC00595
LINC00844
LINC00845
LINC00856
LINC00857
LINC00858
LINC00863
LINC00864
LINC01515
LINC01519
LINC01520
LINC01553
LOC100130698
LOC101928887
LOC101928961
LOC101928994
LOC101929165
LOC101929234
LOC101929574
LOC101929646
LOC101929662
LOC102723439
LOC102723703
LOC105378330
LOC105378349
LOC105378367
LOC105378385
LOC105378397
LOC283045
LOC642361
LOC729815
LRIT1
LRIT2
LRMDA
LRRC20
LRRTM3
MAT1A
MBL1P
MCU
MICU1
MINPP1
MIR1254-1
MIR1296
MIR346
MIR4676
MIR4678
MIR606
MIR7151
MIR7152
MMRN2
MRLN
MRPS16
MSS51
MYOZ1
MYPN
NDST2
NEUROG3
NODAL
NPFFR1
NRBF2
NRG3
NRG3-AS1
NUDT13
NUTM2A
NUTM2A-AS1
NUTM2B
NUTM2B-AS1
NUTM2D
NUTM2E
OIT3
OPN4
P4HA1
PALD1
PAPSS2
PBLD
PCBD1
PHYHIPL
PLA2G12B
PLAC9
PLAU
POLR3A
POU5F1P5
PPA1
PPIF
PPP3CB
PPP3CB-AS1
PRF1
PSAP
REEP3
RGR
RHOBTB1
RPS24
RTKN2
RUFY2
SAMD8
SAR1A
SEC24C
SFTPA1
SFTPA2
SFTPD
SGPL1
SH2D4B
SIRT1
SLC16A9
SLC25A16
SLC29A3
SNCG
SNORA11F
SNORD172
SNORD98
SPOCK2
SRGN
STOX1
SUPV3L1
SYNPO2L
TACR2
TBATA
TET1
TMEM254
TMEM254-AS1
TMEM26
TMEM26-AS1
TSPAN14
TSPAN15
TYSND1
UNC5B
UNC5B-AS1
USP54
VCL
VDAC2
VPS26A
VSIR
WAPL
ZCCHC24
ZMIZ1
ZMIZ1-AS1
ZNF365
ZNF503
ZNF503-AS1
ZNF503-AS2
ZSWIM8
ZSWIM8-AS1
ATAD1
TRIM8
AS3MT
BORCS7
BORCS7-ASMT
CYP17A1
CALHM1
CALHM2
CALHM3
CFAP43
CFAP58
CFAP58-AS1
COL17A1
GSTO1
GSTO2
ITPRIP
LOC101927472
LOC101927523
LOC101927549
LOC105378470
MIR4482
MIR609
MIR936
NEURL1
NEURL1-AS1
SFR1
SH3PXD2A
SH3PXD2A-AS1
SLK
SORCS3
SORCS3-AS1
STN1
SORCS1
SORCS1
LINC01435
XPNPEP1
ACSL5
ADD3
ADRA2A
BBIP1
CASP7
DCLRE1A
DUSP5
GPAM
GUCY2GP
HABP2
LOC103344931
MIR4295
MIR4483
MIR4680
MIR548E
MIR6715A
MIR6715B
MXI1
NHLRC2
NRAP
PDCD4
PDCD4-AS1
PLEKHS1
RBM20
RPL13AP6
SHOC2
SMC3
SMNDC1
SNORA87
TCF7L2
TECTB
VTI1A
ZDHHC6
ADRB1
ABLIM1
AFAP1L2
ATRNL1
C10orf82
CCDC172
ENO4
FAM160B1
GFRA1
HSPA12A
KCNK18
LOC101927692
LOC102724589
MIR3663
MIR3663HG
PNLIP
PNLIPRP1
PNLIPRP2
PNLIPRP3
SHTN1
SNORD158
TRUB1
VAX1
VWA2
CACUL1
CASC2
EMX2
EMX2OS
FAM204A
LINC00867
PDZD8
PRLHR
RAB11FIP2
BAG3
EIF3A
FAM45A
GRK5
INPP5F
MCMBP
MIR4681
MIR4682
NANOS1
PRDX3
RGS10
SEC23IP
SFXN4
SNORA19
TIAL1
ABRAXAS2
BCCIP
CTBP2
DHX32
EDRF1
EDRF1-AS1
EEF1AKMT2
FAM53B
FAM53B-AS1
FLJ37035
LHPP
LOC283038
MIR4296
MIR4484
MMP21
NKX1-2
OAT
TEX36
TEX36-AS1
UROS
ZRANB1
ADAM12
C10orf90
FANK1-AS1
LINC00601
LOC728158
AS-PTPRE
CLRN3
FOXI2
LINC01163
MKI67
NPS
PTPRE
C10orf143
CTAGE7P
EBF3
GLRX3
LOC728327
MGMT
MIR378C
MIR4297
TCERG1L
TCERG1L-AS1
BNIP3
JAKMIP3
LINC01164
PPP2R2D
ANO9
AP2A2
APBB1
ART1
ART5
ASCL2
B4GALNT4
BET1L
BGLT3
BRSK2
C11orf21
C11orf40
C11orf42
CARS
CARS-AS1
CAVIN3
CCKBR
CD151
CD81
CD81-AS1
CDHR5
CDKN1C
CEND1
CHID1
CHRNA10
CNGA4
CRACR2B
CTSD
DEAF1
DRD4
DUSP8
EPS8L2
FAM160A2
FAM99A
FAM99B
GATD1
H19
HBB
HBBP1
HBD
HBE1
HBG1
HBG2
HOTS
HPX
HRAS
IFITM1
IFITM10
IFITM2
IFITM3
IFITM5
IGF2
IGF2-AS
INS
INS-IGF2
IRF7
KCNQ1
KCNQ1-AS1
KCNQ1DN
KCNQ1OT1
KRTAP5-1
KRTAP5-2
KRTAP5-3
KRTAP5-4
KRTAP5-5
KRTAP5-6
KRTAP5-AS1
LINC01150
LINC01219
LMNTD2
LOC100506082
LOC101927503
LOC101927708
LOC143666
LOC171391
LOC692247
LRRC56
LSP1
MIR210
MIR210HG
MIR4298
MIR4686
MIR4687
MIR483
MIR6743
MIR6744
MIR675
MIR7847
MMP26
MOB2
MRGPRE
MRGPRG
MRGPRG-AS1
MRPL23
MRPL23-AS1
MUC2
MUC5AC
MUC5B
MUC6
NAP1L4
NLRP6
NUP98
OLFM5P
OR51A2
OR51A4
OR51A7
OR51B2
OR51B4
OR51B5
OR51B6
OR51D1
OR51E1
OR51E2
OR51F1
OR51F2
OR51G1
OR51G2
OR51H1
OR51I1
OR51I2
OR51J1
OR51L1
OR51M1
OR51Q1
OR51S1
OR51T1
OR51V1
OR52A1
OR52A5
OR52B2
OR52B4
OR52B6
OR52D1
OR52E1
OR52E2
OR52E4
OR52E5
OR52E6
OR52E8
OR52H1
OR52I1
OR52I2
OR52J3
OR52K1
OR52K2
OR52L1
OR52M1
OR52N1
OR52N2
OR52N4
OR52N5
OR52R1
OR52W1
OR52Z1
OR56A1
OR56A3
OR56A4
OR56A5
OR56B1
OR56B4
OR7E12P
OSBPL5
PANO1
PGAP2
PGGHG
PHLDA2
PHRF1
PIDD1
PKP3
PNPLA2
POLR2L
PSMD13
PTDSS2
RASSF7
RHOG
RIC8A
RNH1
RPLP2
RRM1
SCT
SIGIRR
SIRT3
SLC22A18
SLC22A18AS
SLC25A22
SMPD1
SNORA52
SNORA54
SNORD131
STIM1
SYT8
TALDO1
TH
TMEM80
TNNI2
TNNT3
TOLLIP
TOLLIP-AS1
TRIM21
TRIM22
TRIM3
TRIM34
TRIM5
TRIM6
TRIM6-TRIM34
TRIM68
TRPC2
TRPM5
TSPAN32
TSPAN4
TSSC2
TSSC4
UBQLN3
UBQLNL
ZNF195
ARFIP2
DNHD1
TIMM10B
COMMD9
PRR5L
SHANK2
AAMDC
ACER3
ALG1L9P
ALG8
ANAPC15
ANKRD42
AQP11
ARAP1
ARAP1-AS2
ARHGEF17
ARRB1
ATG16L2
B3GNT6
C2CD3
CAPN5
CCDC81
CCDC83
CCDC89
CCDC90B
CHRDL2
CLNS1A
CLPB
COA4
CREBZF
DDIAS
DEFB108B
DEFB131B
DGAT2
DHCR7
DLG2
DNAJB13
EED
EMSY
FAM168A
FAM181B
FAM86C1
FCHSD2
FLJ42102
FOLR1
FOLR2
FOLR3
FZD4
GAB2
GDPD4
GDPD5
GUCY2EP
GVQW3
HIKESHI
IL18BP
INPPL1
INTS4
KCNE3
KCTD14
KCTD21
KCTD21-AS1
KLHL35
KRTAP5-10
KRTAP5-11
KRTAP5-7
KRTAP5-8
KRTAP5-9
LAMTOR1
LINC01537
LIPT2
LOC100128494
LOC100133315
LOC100287837
LOC100287896
LOC100506113
LOC100506282
LOC100506368
LOC101928837
LOC101928865
LOC101928896
LOC101928944
LOC105369391
LOC105369423
LOC283214
LOC646029
LRRC32
LRTOMT
MAP6
ME3
MIR139
MIR3165
MIR326
MIR4300
MIR4300HG
MIR4459
MIR4692
MIR4696
MIR548AL
MIR5579
MIR6754
MIR6755
MIR708
MOGAT2
MRPL48
MYO7A
NADSYN1
NARS2
NDUFC2
NDUFC2-KCTD14
NEU3
NUMA1
OMP
OR2AT4
OR7E2P
P2RY2
P2RY6
P4HA3
P4HA3-AS1
PAAF1
PAK1
PCF11
PCF11-AS1
PDE2A
PGM2L1
PHOX2A
PICALM
PLEKHB1
POLD3
PPME1
PRCP
PRSS23
RAB30
RAB30-AS1
RAB6A
RELT
RNF121
RNF169
RPS3
RSF1
SERPINH1
SLCO2B1
SNORA70E
SNORD15A
SNORD15B
SPCS2
STARD10
SYTL2
TENM4
THAP12
THRSP
TMEM126A
TMEM126B
TMEM135
TPBGL
TSKU
UCP2
UCP3
USP35
UVRAG
WNT11
XRRA1
ZNF705E
AMOTL1
ANKRD49
C11orf54
C11orf97
CCDC82
CEP295
CEP57
CHORDC1
CTSC
CWC15
DEUP1
DISC1FP1
ENDOD1
FAM76B
FAT3
FOLH1B
FUT4
GPR83
GRM5
GRM5-AS1
HEPHL1
IZUMO1R
JRKL
JRKL-AS1
KDM4D
KDM4E
LOC100129203
LOC101929295
LOC105369431
LOC105369438
LOC105369443
MAML2
MED17
MIR1260B
MIR1261
MIR1304
MIR3166
MIR4490
MIR548L
MRE11
MTMR2
MTNR1B
NAALAD2
NOX4
PANX1
PIWIL4
RAB38
SCARNA9
SESN3
SLC36A4
SMCO4
SNORA1
SNORA18
SNORA25
SNORA32
SNORA40
SNORA8
SNORD5
SNORD6
SRSF8
TAF1D
TRIM49
TRIM49C
TRIM49D1
TRIM49D2
TRIM51EP
TRIM53AP
TRIM64
TRIM64B
TRIM77
TYR
UBTFL1
VSTM5
IQSEC3
LOC574538
CAND1
AACS
ABCB9
ACACB
ACAD10
ACADS
ADAM1A
ADGRD1
ADGRD1-AS1
ALDH1L2
ALDH2
ALKBH2
ANAPC5
ANAPC7
ANKRD13A
APPL2
ARL6IP4
ARPC3
ASCL1
ASCL4
ATP2A2
ATP6V0A2
ATXN2
ATXN2-AS
B3GNT4
BCL7A
BICDL1
BRAP
BRI3BP
BTBD11
C12orf42
C12orf43
C12orf45
C12orf49
C12orf65
C12orf73
C12orf75
C12orf76
CABP1
CAMKK2
CASC18
CCDC60
CCDC62
CCDC63
CCDC92
CDK2AP1
CFAP73
CHPT1
CHST11
CIT
CKAP4
CLIP1
CLIP1-AS1
CMKLR1
COQ5
CORO1C
COX6A1
CRY1
CUX2
DAO
DDX51
DDX54
DDX55
DENR
DHX37
DIABLO
DNAH10
DRAM1
DTX1
DYNLL1
EID3
EIF2B1
EP400
EP400P1
ERP29
FAM109A
FAM216A
FAM222A
FAM222A-AS1
FBXO21
FBXW8
FICD
FOXN4
FZD10
FZD10-AS1
GALNT9
GATC
GCN1
GIT2
GLT1D1
GLT8D2
GLTP
GNPTAB
GPN3
GTF2H3
HCAR1
HCAR2
HCAR3
HCFC2
HECTD4
HIP1R
HNF1A
HNF1A-AS1
HPD
HRK
HSP90B1
HSPB8
HVCN1
IFT81
IGF1
IL31
IQCD
ISCU
KCCAT198
KCTD10
KDM2B
KMT5A
KNTC1
KSR2
LHX5
LHX5-AS1
LINC00173
LINC00485
LINC00507
LINC00508
LINC00934
LINC00939
LINC00943
LINC00944
LINC01089
LINC01234
LINC01257
LINC01405
LINC01486
LINC01498
LINC02347
LINC02350
LINC02359
LINC02361
LINC02368
LINC02369
LINC02370
LINC02372
LINC02375
LINC02376
LINC02393
LINC02401
LINC02405
LINC02411
LINC02414
LINC02415
LINC02418
LINC02419
LINC02423
LINC02439
LINC02441
LINC02459
LOC100128276
LOC100287944
LOC100505978
LOC100506551
LOC100506691
LOC100996671
LOC101593348
LOC101927415
LOC101929058
LOC101929162
LOC105369945
LOC105369980
LOC105370024
LOC105370068
LOC283435
LOC414300
LOC728739
LRRC43
MAP1LC3B2
MAPKAPK5
MAPKAPK5-AS1
MED13L
MIR1178
MIR1302-1
MIR3612
MIR3652
MIR3657
MIR3908
MIR3922
MIR4304
MIR4419B
MIR4472-2
MIR4496
MIR4497
MIR4498
MIR4700
MIR5188
MIR548AQ
MIR619
MIR620
MIR6760
MIR6761
MIR6762
MIR6861
MIR6880
MIR7106
MIR7107
MIR7641-2
MIR8072
MLEC
MLXIP
MMAB
MMP17
MORN3
MPHOSPH9
MSI1
MTERF2
MVK
MYBPC1
MYL2
MYO1H
NAA25
NCOR2
NFYB
NOC4L
NOS1
NRAV
NT5DC3
NUAK1
NUP37
OAS1
OAS2
OAS3
OASL
OGFOD2
ORAI1
P2RX4
P2RX7
PAH
PARPBP
PEBP1
PITPNM2
PITPNM2-AS1
PIWIL1
PLA2G1B
PLBD2
PMCH
POLR3B
POP5
PPP1CC
PPTC7
PRDM4
PRKAB1
PSMD9
PTPN11
PUS1
PWP1
PXN
PXN-AS1
RAB35
RAD9B
RAN
RASAL1
RBM19
RFC5
RFLNA
RFX4
RHOF
RIC8B
RILPL1
RILPL2
RIMBP2
RITA1
RNF10
RNF34
RNFT2
RNU4-1
RNU4-2
RPH3A
RPL6
RPLP0
RSRC2
SART3
SBNO1
SCARB1
SDS
SDSL
SELPLG
SETD1B
SFSWAP
SH2B3
SIRT4
SLC15A4
SLC41A2
SLC8B1
SNORA49
SNORA9B
SNRNP35
SPPL3
SRRM4
SRSF9
SSH1
STAB2
STX2
SUDS3
SVOP
SYCP3
TAOK3
TBX3
TBX5
TBX5-AS1
TCHP
TCP11L2
TCTN1
TCTN2
TDG
TESC
TESC-AS1
THRIL
TMED2
TMEM116
TMEM119
TMEM120B
TMEM132B
TMEM132C
TMEM132D
TMEM132D-AS1
TMEM132D-AS2
TMEM233
TMEM263
TPCN1
TRAFD1
TRIAP1
TRPV4
TTC41P
TXNRD1
UBC
UBE3B
ULK1
UNC119B
UNG
USP30
USP30-AS1
VPS29
VPS33A
VPS37B
VSIG10
WASHC3
WASHC4
WDR66
WSB2
WSCD2
XLOC_009911
ZCCHC8
ZNF664
ZNF664-RFLNA
ANHX
ANKLE2
CHFR
FBRSL1
GOLGA3
LOC100130238
LOC101928416
LOC101928530
LOC101928597
LRCOL1
MIR6763
P2RX2
PGAM5
POLE
PXMP2
ZNF10
ZNF140
ZNF26
ZNF268
ZNF605
ZNF84
ZNF891
CNMD
DIAPH3
DIAPH3-AS1
DIAPH3-AS2
LINC00374
LINC00378
LINC00434
LINC00458
LINC00558
LINC01065
LINC02338
MIR1297
MIR5007
MIR759
OLFM4
PCDH17
PCDH8
PRR20A
TDRD3
LINC01075
ACOD1
ATXN8OS
BORA
BTF3P11
CLN5
COMMD6
CTAGE11P
DACH1
DIS3
EDNRB
EDNRB-AS1
FBXL3
KCTD12
KLF12
KLF5
KLHL1
LINC00331
LINC00333
LINC00347
LINC00348
LINC00351
LINC00355
LINC00364
LINC00375
LINC00376
LINC00377
LINC00381
LINC00382
LINC00383
LINC00392
LINC00395
LINC00402
LINC00446
LINC00448
LINC00550
LINC00561
LINC00564
LINC01038
LINC01052
LINC01068
LINC01069
LINC01078
LINC01080
LMO7
LMO7-AS1
LMO7DN
LMO7DN-IT1
LOC100129307
LOC100288208
LOC102723968
MIR3665
MIR4704
MIR548X2
MYCBP2
MYCBP2-AS1
MZT1
NDFIP2
NDFIP2-AS1
OR7E156P
PCDH9
PCDH9-AS2
PCDH9-AS3
PCDH9-AS4
PIBF1
POU4F1
RBM26
RBM26-AS1
RNF219
RNF219-AS1
SCEL
SCEL-AS1
SLAIN1
